Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1965     ,      6.0,      6.6,      5.7,      2.5,      2.7,      1.5,     -0.9,      0.3,      2.9,      1.5,      3.9,      7.7,      3.4,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1966     ,      6.8,      7.7,      7.2,      5.6,      2.6,     -0.7,      0.0,     -0.2,      2.3,      3.9,      6.2,      5.7,      3.9,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1967     ,      6.1,      6.1,      5.3,      2.7,      1.0,     -1.6,     -0.9,     -0.4,      1.4,      2.3,      4.2,      5.5,      2.6,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1968     ,      6.7,      8.6,      7.1,      4.5,      1.5,      0.3,     -0.8,      0.9,      2.6,      2.1,      4.7,      5.6,      3.7,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1969     ,         ,         ,      7.2,      3.9,      2.3,     -0.3,      1.3,      1.5,      0.5,      2.0,      6.3,      5.3,         ,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1970     ,      9.0,      5.1,      6.0,      5.4,      1.0,      0.4,      1.1,      0.8,      1.1,      3.1,      5.3,      6.5,      3.7,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1971     ,     10.4,      9.3,      6.8,      3.2,      1.0,     -0.2,     -2.3,     -0.8,      1.8,      3.1,      5.9,      6.7,      3.7,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1972     ,         ,      8.9,      4.5,      4.8,      1.2,     -1.8,     -0.2,      0.8,      4.5,      3.6,      5.2,      6.8,         ,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1973     ,      8.6,      8.5,      6.4,      5.4,      4.9,     -0.3,     -0.8,      1.0,      3.3,      2.8,      5.2,      7.7,      4.4,QC,#
dx, 95001,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1974     ,      7.1,      8.5,      8.0,      5.7,      2.3,      1.5,      1.2,         ,         ,         ,         ,      7.1,         ,QC,#
