dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1929     ,     23.1,     21.3,     18.6,     13.1,      8.8,      4.0,      3.2,      5.5,      9.4,     13.0,     15.3,     16.8,     12.7,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1930     ,     21.9,     24.4,     19.1,     13.4,     10.1,      7.4,      5.7,      6.3,      8.3,     14.6,     15.1,     18.4,     13.7,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1931     ,     18.8,     21.2,     17.4,     12.2,      8.4,      5.9,      3.3,      6.0,      8.6,     12.8,     16.1,     20.5,     12.6,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1932     ,     25.2,     19.9,     17.3,     12.2,     11.7,      3.9,      4.8,      6.2,     10.2,     10.9,     17.3,     18.4,     13.2,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1933     ,     19.9,     20.9,     19.4,     13.2,      8.3,      7.2,      5.5,      5.6,      8.3,     15.1,     16.1,     17.4,     13.1,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1934     ,     20.8,     19.7,     19.1,     10.2,     10.3,      5.4,      4.4,      6.1,      9.7,     11.3,     14.9,     16.9,     12.4,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1935     ,     19.7,     19.2,     17.1,      9.6,      7.9,      5.2,      4.8,      6.3,      8.0,     13.2,     15.9,     19.2,     12.2,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1936     ,     20.2,     20.5,     18.1,     12.5,     10.1,      3.9,      3.6,      5.4,      9.7,     12.6,     16.1,     17.6,     12.5,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1937     ,     18.2,     19.7,     16.3,     12.3,      7.6,      3.7,      4.6,      8.1,      8.8,     14.1,     17.4,     19.6,     12.5,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1938     ,     20.2,     18.6,     19.5,     14.4,     10.8,      5.3,      4.5,      4.9,     10.1,     15.3,     18.7,     20.3,     13.6,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1939     ,     25.1,     24.6,     16.4,     12.1,     11.3,      3.4,      3.9,      2.9,      7.3,     11.8,     13.2,     17.9,     12.5,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1940     ,     20.8,     20.8,     22.8,     12.2,      7.7,      6.7,      4.2,      7.4,     10.4,     15.2,     14.3,     20.4,     13.6,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1941     ,     18.8,     18.6,     15.0,     14.5,      9.9,      5.2,      4.8,      6.0,      9.1,     11.7,     17.6,     19.8,     12.6,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1945     ,     22.0,     18.9,     17.3,     13.7,      9.7,      5.8,      5.0,      4.4,      8.6,     12.2,     16.3,     21.9,     13.0,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1957     ,     22.5,     22.0,     17.9,     13.0,      8.0,      8.9,      3.8,      6.2,      9.1,     12.6,     15.5,     20.5,     13.3,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1958     ,     20.9,     20.1,     17.1,     15.3,      8.6,      6.4,      3.0,      5.8,      8.4,     10.6,     18.0,     18.2,     12.7,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1959     ,     23.6,     21.5,     18.3,     14.3,     11.0,      6.8,      6.2,      5.9,      9.1,     10.8,     19.4,     17.0,     13.7,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1960     ,     22.9,     20.1,     18.4,     12.2,      4.7,      3.4,      2.9,      4.7,      7.8,     12.5,     13.8,     19.3,     11.9,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1961     ,     21.0,     20.9,     16.9,     13.2,      9.2,      4.9,      3.0,      5.5,     10.4,     16.4,     16.3,     19.0,     13.1,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1962     ,     19.5,     19.5,     18.9,     14.6,      6.2,      5.7,      6.2,      4.8,      8.6,     10.6,     17.1,     17.6,     12.4,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1963     ,     19.6,     19.8,     18.1,     13.9,      9.4,      5.8,      2.7,      5.2,      8.5,     15.9,     15.5,     18.5,     12.7,QC,#
dx, 71010,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1964     ,     19.3,     19.7,     18.6,     14.4,      8.0,      4.3,      2.1,      3.2,      8.3,      9.4,     16.6,     14.7,     11.6,QC,#
